code,postal_old,postal_new,pref_kana,address1_kana,address2_kana,pref,address1,address2,is_multi_code,is_koaza,is_choume,is_multi_place,is_updated,update_reason
22225,41021,4102101,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ｺﾏﾂｶﾞﾊﾗ,静岡県,伊豆の国市,小松ケ原,0,0,0,0,0,0
22225,41021,4102102,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ﾌｼﾞﾐﾆｭｰﾀｳﾝ,静岡県,伊豆の国市,富士見ニュータウン,0,0,0,0,0,0
22225,41021,4102103,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ｴﾒﾗﾙﾄﾞﾀｳﾝ,静岡県,伊豆の国市,エメラルドタウン,0,0,0,0,0,0
22225,41021,4102111,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ﾀﾁﾊﾞﾅﾀﾞｲ,静岡県,伊豆の国市,立花台,0,0,0,0,0,0
22225,41021,4102112,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ｳﾁﾅｶ,静岡県,伊豆の国市,内中,0,0,0,0,0,0
22225,41021,4102113,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ﾅｶ,静岡県,伊豆の国市,中,0,0,0,0,0,0
22225,41021,4102114,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ﾅﾝｼﾞｮｳ,静岡県,伊豆の国市,南條,0,0,0,0,0,0
22225,41021,4102121,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ﾁｭｳｼﾞｮｳ,静岡県,伊豆の国市,中條,0,0,0,0,0,0
22225,41021,4102122,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ｼﾞｹ,静岡県,伊豆の国市,寺家,0,0,0,0,0,0
22225,41021,4102123,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ﾖｯｶﾏﾁ,静岡県,伊豆の国市,四日町,0,0,0,0,0,0
22225,41021,4102124,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ﾊﾞﾗｷ,静岡県,伊豆の国市,原木,0,0,0,0,0,0
22225,41021,4102131,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ﾅｶﾞｻｷ,静岡県,伊豆の国市,長崎,0,0,0,0,0,0
22225,41021,4102132,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ﾅｺﾞﾔ,静岡県,伊豆の国市,奈古谷,0,0,0,0,0,0
22225,41021,4102133,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ﾆﾗﾔﾏﾀﾀﾞ,静岡県,伊豆の国市,韮山多田,0,0,0,0,0,0
22225,41021,4102141,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ﾆﾗﾔﾏﾔﾏｷ,静岡県,伊豆の国市,韮山山木,0,0,0,0,0,0
22225,41021,4102142,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ﾆﾗﾔﾏｶﾅﾔ,静岡県,伊豆の国市,韮山金谷,0,0,0,0,0,0
22225,41021,4102143,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ﾆﾗﾔﾏﾆﾗﾔﾏ,静岡県,伊豆の国市,韮山韮山,0,0,0,0,0,0
22225,41021,4102144,ｼｽﾞｵｶｹﾝ,ｲｽﾞﾉｸﾆｼ,ﾆﾗﾔﾏﾄﾞﾃﾜﾀﾞ,静岡県,伊豆の国市,韮山土手和田,0,0,0,0,0,0
